work_id,composer_id,title,work_type,catalog_number,key,mb_tags
fef51219-d25b-4fca-88a2-c9e0cfb8e8fb,ad79836d-9849-44df-8789-180bbc823f3c,Venezianische Konzerte,Concerto,,,[]
6fdd7af1-c7ca-4e45-a916-d13563265c1a,ad79836d-9849-44df-8789-180bbc823f3c,Le Quattro Stagioni (Iona Brown),Concerto,,,[]
cca26ce1-1906-3b75-b55c-89024494b2d5,ad79836d-9849-44df-8789-180bbc823f3c,Die Vier Jahreszeiten (The Four Seasons),Concerto,,,['classical']
e1bced07-27a5-464c-8dfd-1f04be28fdfd,ad79836d-9849-44df-8789-180bbc823f3c,Les Quatre Saisons Opus 8 n°1-4,Concerto,Op. 8,,[]
3a40ba98-e679-4b9f-ade8-c2ea29c1c7e3,ad79836d-9849-44df-8789-180bbc823f3c,Dixit dominus rv 595;o qui caeli rv 631;gloria rv 588,Gloria,RV 595,,[]
8a4990c9-2875-479c-a2f3-22ae35c9a936,ad79836d-9849-44df-8789-180bbc823f3c,De Meesters: Antonio Vivaldi,,,,[]
d7dd0087-7c44-3f72-beca-474cbf703c93,ad79836d-9849-44df-8789-180bbc823f3c,Die vier Jahreszeiten,Concerto,,,['baroque' 'classical' 'concerto' 'opera']
a94bf428-c0e6-4e72-af08-a17ea302d781,ad79836d-9849-44df-8789-180bbc823f3c,Critic's Choice: The Basics Seasons,,,,[]
eb783973-ba49-4bb7-917e-c5a69eccc150,ad79836d-9849-44df-8789-180bbc823f3c,Vivaldi: Due salmi / Casella: Missa solemnis,Mass,,,[]
d3fb8714-7292-49fd-bd8b-9f1f7055ce4b,ad79836d-9849-44df-8789-180bbc823f3c,"Il Cimento dell'Armonia e dell'Inventione, Op. VIII",Concerto,,,[]
db378fa0-0442-4ebd-8a9b-fbe48f387dc9,ad79836d-9849-44df-8789-180bbc823f3c,The Four Seasons,Concerto,,,[]
934a0e6e-ead3-4813-a4d7-d3451e2dda95,ad79836d-9849-44df-8789-180bbc823f3c,Antonio Vivaldi Complete Recorder Concertos,Concerto,,,[]
141ba60e-2011-4831-a74b-11051d320dcc,ad79836d-9849-44df-8789-180bbc823f3c,Cello Concertos,Concerto,,,[]
e8f97693-e108-3154-b7ba-63fa4367d9f5,ad79836d-9849-44df-8789-180bbc823f3c,"Choral Works, Volume 1",Choral,,,[]
c325658d-ff12-4e89-8fb5-12d56e9f3ca5,ad79836d-9849-44df-8789-180bbc823f3c,"Concerti, Sinfonia",Symphony,,,[]
82be03ef-01c5-47ec-a4e5-4cf7a1943633,ad79836d-9849-44df-8789-180bbc823f3c,Concertos on Authentic Instruments,Concerto,,,[]
b1a8c879-0a56-44ca-ac84-b76ef298abc5,ad79836d-9849-44df-8789-180bbc823f3c,Die vier Jahreszeiten,Concerto,,,[]
b865f818-5cbe-3ef7-ac41-82cb1fffad72,ad79836d-9849-44df-8789-180bbc823f3c,Four Seasons And More,Concerto,,,[]
6723219d-8de6-3f34-87c1-d0d48db8314a,ad79836d-9849-44df-8789-180bbc823f3c,"Gloria, Stabat Mater",Gloria,,,[]
f04d75b0-8fce-3b50-8300-4a3bbd974d4f,ad79836d-9849-44df-8789-180bbc823f3c,Las Cuatro Estaciones y Otros Conciertos,Concerto,,,['classical' 'concerto']
47633fc6-3673-41fe-9db4-f46f267f8ddd,ad79836d-9849-44df-8789-180bbc823f3c,Le Quattro Stagioni = Die Vier Jahreszeiten = The Four Seasons,Concerto,,,[]
bd2a135f-15fa-41a1-9c75-153542452c0b,ad79836d-9849-44df-8789-180bbc823f3c,Les Quatres Saisons,Concerto,,,[]
0647fab0-bced-4d87-afa7-1ce9cdb84804,ad79836d-9849-44df-8789-180bbc823f3c,"The Best of Vivaldi: Featuring The Four Seasons, Volume II",Concerto,,,['baroque' 'classical']
6de89119-f6a9-309f-aace-91bc613f7c92,ad79836d-9849-44df-8789-180bbc823f3c,The Four Seasons - Antonio Vivaldi (Musici di San Marco),Concerto,,,[]
7ec06fd0-6c56-47b2-bd21-5a8291e09368,ad79836d-9849-44df-8789-180bbc823f3c,The Vivaldi Collection,,,,[]
1baf5f39-e798-4cdb-bff3-c098338fba0d,be50643c-0377-4968-b48c-47e06b2e2a3b,La damoiselle élue / Piano Concerto for the Left Hand,Concerto,,,['classical']
8f60accc-4ee2-437b-abad-eff3f7bc7ee6,be50643c-0377-4968-b48c-47e06b2e2a3b,Franck: Sonata in A major / Debussy: Sonata no. 3,Sonata,No. 3,A major,['classical']
f0db09b9-a24f-41d0-85e5-ea45567cf64c,be50643c-0377-4968-b48c-47e06b2e2a3b,Douze etudes pour le piano,Etude,,,['classical']
66e33a3f-c0ff-4548-9782-d74df194e0f1,be50643c-0377-4968-b48c-47e06b2e2a3b,"Ravel: Quartet in F major / Debussy: Quartet in G minor, op. 10",Quartet,Op. 10,F major,['classical']
28f39850-808d-45e0-a76e-179e8db072c9,be50643c-0377-4968-b48c-47e06b2e2a3b,La Mer / Iberia,Suite,,,['classical']
fd010639-edb1-4f38-9302-d7ad8d14e4f7,be50643c-0377-4968-b48c-47e06b2e2a3b,"Debussy: Sonata for Flute, Viola and Harp / Syrinx for Unaccompanied Flute / Roussel: Trio for Flute, Viola and Cello, op. 40",Trio,Op. 40,,['classical']
3a9914fc-cfbf-4d2c-b1fa-bf9abfdce7e5,be50643c-0377-4968-b48c-47e06b2e2a3b,Debussy: The Blessed Damozel / Berlioz: Summer Nights,,,,['classical']
d7c77102-d429-4b38-9b57-f915624700f7,be50643c-0377-4968-b48c-47e06b2e2a3b,"Quatuor en sol mineur, op. 10 / Sonate pour violoncelle et piano",Quartet,Op. 10,,['classical']
b5a891b4-7d26-44f4-9933-694d5ed11e0e,be50643c-0377-4968-b48c-47e06b2e2a3b,"Ravel: La valse, Boléro, Mother Goose Suite / Debussy: Nocturnes: Nuages, fêtes",Nocturne,,,['classical']
811790e5-a52b-4971-8203-499b4d085325,be50643c-0377-4968-b48c-47e06b2e2a3b,"Le quatuor à cordes / Sonate pour flûte, alto et harpe / Sonate pour violoncelle et piano",String Quartet,,,['classical']
1cc55e49-5d31-4994-a6d8-5458f398fdbd,be50643c-0377-4968-b48c-47e06b2e2a3b,Mendelssohn: Midsummer Night’s Dream / Debussy: Afternoon of a Faun,,,,['classical']
4ad6cb2b-9380-4bfe-bc31-1d22f1ad0968,be50643c-0377-4968-b48c-47e06b2e2a3b,The Sea,,,,['classical']
b65cff8d-45be-4490-9827-0cbe8c2c25bf,be50643c-0377-4968-b48c-47e06b2e2a3b,Debussy: Iberia - Ravel: Alborado Del Gracioso / Valses Nobles Et Sentimentales,Suite,,,['classical']
818288f4-a4f7-4966-8f93-9ebaa8799706,be50643c-0377-4968-b48c-47e06b2e2a3b,Debussy: La Mer / Prelude à l’apres-midi d’un faune / Ravel: Rapsodie espagnole,Prelude,,,['classical']
976bc4b0-4128-4e5d-bf12-751873cdba77,be50643c-0377-4968-b48c-47e06b2e2a3b,"Ravel: Quartet in F major / Debussy: Quartet in G minor, op. 10",Quartet,Op. 10,F major,['classical']
1353d4bc-c720-443c-8cfe-de5281572278,be50643c-0377-4968-b48c-47e06b2e2a3b,Suite Italienne / Sonata,Suite,,,[]
8d64d8c6-8655-479e-ab91-57f6972598ca,be50643c-0377-4968-b48c-47e06b2e2a3b,La Mer / Nocturnes,Nocturne,,,['classical']
e0efffcd-d710-4c44-9e5d-c898cdb912b9,be50643c-0377-4968-b48c-47e06b2e2a3b,"Mihalovici: Ricercari, op. 46 / Debussy: Tocata / Roussel: Trois pièces pour piano, op. 49 / Bartók: Sonatine",,Op. 46,,[]
8fbd250a-5e64-4230-bd41-8906ac1d82de,be50643c-0377-4968-b48c-47e06b2e2a3b,Debussy: La mer / Tänze für Harfe / Roussel: Bacchus et Ariane,,,,['classical']
23b9c488-eb49-4a34-a89f-416f0c5e8e76,be50643c-0377-4968-b48c-47e06b2e2a3b,Debussy: Quartet / Ravel: Quartet,Quartet,,,['classical']
411442da-8ee5-432a-b427-1352ddd7fda3,be50643c-0377-4968-b48c-47e06b2e2a3b,"Préludes, Vol. 1",Prelude,,,[]
2b9f8ee4-61d4-46b6-989c-78e8e60be20c,be50643c-0377-4968-b48c-47e06b2e2a3b,Images I / Children’s Corner / Suite bergamasque / Danse,Suite,,,['classical']
9d4845cc-f92c-47b8-93d7-332fbf6f6865,be50643c-0377-4968-b48c-47e06b2e2a3b,Debussy: Images / Stravinsky: Symphonies of Wind Instruments / Ravel: Pavane pour une infante défunte,,,,['classical']
410b1930-88d9-4e06-bbe0-cbcf01679be0,be50643c-0377-4968-b48c-47e06b2e2a3b,Images / Estampes / D’un cahier d’esquisses / Berceuse heroique,,,,['classical']
63b59eac-312f-4fc4-8be6-03e6f29a6369,be50643c-0377-4968-b48c-47e06b2e2a3b,L'Œuvre Symphonique Intégrale,,,,[]
e5771a28-938b-3219-a08e-184c861d48e4,2cd475bb-1abd-40c4-9904-6d4b691c752c,Hungarian Fantasy - Orchestral Favourites,Fantasia,,,[]
8828aa4b-992c-3964-b24e-097be03e5fd4,2cd475bb-1abd-40c4-9904-6d4b691c752c,Symphonic Poems & Hungarian Rhapsodies,,,,[]
269fc9a8-acbc-455f-9992-f6b5bfb125a5,2cd475bb-1abd-40c4-9904-6d4b691c752c,Hungarian Rhapsodies,,,,['baroque' 'classical']
79cdf855-cdc7-44b8-a3e7-6daa472fda34,2cd475bb-1abd-40c4-9904-6d4b691c752c,"The organ works, vol. 1",,,,[]
b31fd77d-d28e-42e6-a21b-eb096c026f21,2cd475bb-1abd-40c4-9904-6d4b691c752c,"The organ works, vol. 2",,,,[]
24e398b4-70e5-40d4-aad4-d1b375b1b28b,2cd475bb-1abd-40c4-9904-6d4b691c752c,Songs,,,,[]
daf247e5-b9ff-484a-bd32-d5f93a529064,2cd475bb-1abd-40c4-9904-6d4b691c752c,Franz Liszt,,,,[]
9d91c74d-0440-46c5-8eac-64a6825e2c0e,2cd475bb-1abd-40c4-9904-6d4b691c752c,Orgelwerke der Romantik,,,,[]
33a30844-e7af-3726-9eae-5c1b5175636e,2cd475bb-1abd-40c4-9904-6d4b691c752c,Jorge Bolet joue Liszt,,,,[]
f493c6b7-fc4b-3462-8ad7-e4f35e8ee5e7,2cd475bb-1abd-40c4-9904-6d4b691c752c,Liebestraum,,,,[]
ba6343c2-839c-3cc7-93dd-2407b9bd292d,2cd475bb-1abd-40c4-9904-6d4b691c752c,"Peter Lang - Concertos pour piano n°1 - Orchestre, Rhapsodie hongroise - Funerailles - Tasso",Concerto,,,[]
98ccb58b-a347-378b-8029-b60c4056154b,2cd475bb-1abd-40c4-9904-6d4b691c752c,Sonata in B minor,Sonata,,B minor,[]
f9334882-615a-4150-bf48-66f4641adbdb,2cd475bb-1abd-40c4-9904-6d4b691c752c,Rubinstein Plays Liszt,,,,['classical']
bebdfb18-b01d-42fe-b03a-0175c7010b0a,2cd475bb-1abd-40c4-9904-6d4b691c752c,Dukas: The Sorcerer's Apprentice / Weinberger: Schwanda / Liszt: Les Préludes / Strauss: Salome,Prelude,,,[]
3ed1f5bf-dde6-43c4-be47-11ce07d7ad40,2cd475bb-1abd-40c4-9904-6d4b691c752c,A Faust Symphony / Symphonic Poem: Orpheus,Symphony,,,['classical']
1d64d597-0419-4d3a-93cd-8cc5e68fc23d,2cd475bb-1abd-40c4-9904-6d4b691c752c,Liszt: Sonata in B minor / Weber: Sonata no. 4 in E minor / Invitation to the Dance,Sonata,No. 4,B minor,['classical']
5d8723d3-68eb-4517-ba70-5130c2e17255,2cd475bb-1abd-40c4-9904-6d4b691c752c,The Virtuoso Liszt,,,,[]
a93e6ac4-486a-4628-9c1a-9439bb15cdb5,2cd475bb-1abd-40c4-9904-6d4b691c752c,Liszt: Hungarian Rhapsodies 2 & 3 / Enesco: Roumanian Rhapsodies 1 & 2,,,,[]
7d248cbd-7474-4f36-90be-d31100649c53,2cd475bb-1abd-40c4-9904-6d4b691c752c,Liszt: Les Préludes / Smetana: The Moldau / Moussorgsky: Night on Bald Mountain / Sibelius: Valse triste,Prelude,,,[]
54380b0b-da93-4cc1-a60d-f7a9e444f1a0,2cd475bb-1abd-40c4-9904-6d4b691c752c,Concertos Nos 1 et 2 pour piano,Concerto,,,[]
33f96013-4f19-4a3c-8fa4-3968a67a772c,2cd475bb-1abd-40c4-9904-6d4b691c752c,Herbert Von Karajan dirige Liszt,,,,[]
99260aed-9497-3d80-9ca7-2a6d7f51d827,2cd475bb-1abd-40c4-9904-6d4b691c752c,Martha Argerich: Début Recital,,,,['classical' 'instrumental']
d93fa315-b3fb-33f2-9c47-444929375510,2cd475bb-1abd-40c4-9904-6d4b691c752c,"Rhapsodies: Liszt, Enescu, Wagner, Smetana",,,,['classical' 'orchestral']
20f91c4a-2028-4d56-aebf-45896701ac1e,2cd475bb-1abd-40c4-9904-6d4b691c752c,Concertos 1 and 2,Concerto,,,[]
d18ca5fa-e10b-48e5-9d67-860f866958da,2cd475bb-1abd-40c4-9904-6d4b691c752c,"Hungarian Rhapsodies nos. 1, 4, 5 & 6",,,,[]
b5e268ba-af3a-4747-85ce-376cdf94df3e,f91e3a88-24ee-4563-8963-fab73d2765ed,Piano Trios: D. 898 / D. 28,,D. 898,,['classical']
fdd42c11-dfc0-4c79-b0bc-a7735f402f4f,f91e3a88-24ee-4563-8963-fab73d2765ed,Moments Musicaux and Piano Sonata in C minor,Sonata,,C minor,[]
e4a7a7e0-8fe8-3772-b2a4-247fd177b589,f91e3a88-24ee-4563-8963-fab73d2765ed,Octet in F major D 803 (The Nash Ensemble),,D. 803,F major,[]
b926a5f5-11ad-4742-8330-5fb38dd894b8,f91e3a88-24ee-4563-8963-fab73d2765ed,"Symphony No.8 ""Unfinished"" - Symphonie No.3",Symphony,No. 8,,[]
d2a7e6c4-6709-3130-984c-76c81348849f,f91e3a88-24ee-4563-8963-fab73d2765ed,"Quintet in C, D956 / The Shepherd on the Rock",,D. 956,C major,[]
3bbbb59c-9a65-3e3a-8cc5-058a1dbd045c,f91e3a88-24ee-4563-8963-fab73d2765ed,Romantic Guitar Quartets,,,,[]
29aef0e2-92de-49da-8dae-e98c74f4f5fe,f91e3a88-24ee-4563-8963-fab73d2765ed,Schubert Octet,,,,[]
f371ba0a-19c4-3adf-b5ba-e5a6fac38017,f91e3a88-24ee-4563-8963-fab73d2765ed,Vienna Masters Series: Franz Schubert Symphony No. 7,Symphony,No. 7,,[]
e1fd58a8-5bea-44e2-85bf-54076b9cdd69,f91e3a88-24ee-4563-8963-fab73d2765ed,"Symphonien No.1, D82 & No.3 - Rosamunde, Balletmusik/Ballet Music",,D. 82,,['classical']
e1b7844c-cd8e-33a6-a2ee-58d5590e1dac,f91e3a88-24ee-4563-8963-fab73d2765ed,Symphonies 8 and 5,,,,[]
48138f04-5b70-47e0-972e-cb860a0dfc36,f91e3a88-24ee-4563-8963-fab73d2765ed,"Symphonies nos. 5, 8 ""Unfinished"" Rosamunde (Overture and Ballet Music No. 1)",Overture,No. 1,,[]
3f7dd50f-3d16-3987-9656-351636a8228f,f91e3a88-24ee-4563-8963-fab73d2765ed,The World of Schubert,,,,[]
40291b5b-9f1d-3b7b-977f-7b0713c39894,f91e3a88-24ee-4563-8963-fab73d2765ed,"Franz Schubert: Orchestrated by Joachim, Mottl, and Webern (American Symphony Orchestra)",Symphony,,,[]
9cb7397c-c7c1-4af0-96e3-455fd48630c7,f91e3a88-24ee-4563-8963-fab73d2765ed,"Los grandes de la música clasica: Franz Schubert, vol. I",,,,[]
a52d7bc8-a5f9-3346-877a-fc63252850f8,f91e3a88-24ee-4563-8963-fab73d2765ed,Piano Duo Schnabel,,,,[]
eaac831e-57ee-3afe-889a-b4670823bf8f,f91e3a88-24ee-4563-8963-fab73d2765ed,"Piano Sonatas D 959, D 664",,D. 959,,[]
3378ade7-e12c-4370-88bc-30c7e7cc9643,f91e3a88-24ee-4563-8963-fab73d2765ed,"String Quartets D87, 703 & 804",,D. 87,,[]
c2a2f857-b8ba-41fe-aef1-9bb66450178a,f91e3a88-24ee-4563-8963-fab73d2765ed,Symphonie no. 9 / Rosamunde (excerpts),Symphony,No. 9,,[]
0ccc8e93-5bd0-4e8a-94be-cc8a35c6eccb,f91e3a88-24ee-4563-8963-fab73d2765ed,Symphonies Nos.5 and 6 - Budapest Symphony Orchestra,Symphony,,,[]
91611311-1188-3965-b641-369dfdb3616a,f91e3a88-24ee-4563-8963-fab73d2765ed,"Schubert: Piano Trios, Volume 1",,,,[]
4b1c7142-ed99-303d-9002-6e939824aabf,f91e3a88-24ee-4563-8963-fab73d2765ed,Lieder - Goethe,Song,,,[]
5f2131b0-db62-34fd-ac9c-fd02c30162d7,f91e3a88-24ee-4563-8963-fab73d2765ed,"Quartettsatz c-moll, String quartet in G major",String Quartet,,C minor,[]
d9ee3b91-fa03-3bb6-b71b-98b62b9fd59e,f91e3a88-24ee-4563-8963-fab73d2765ed,Sonatas in A major D 644 / E minor D 566 (Olga Tverskaya),,D. 644,A major,['classical']
7f55a8bc-ad59-4c38-8965-20699f167f53,f91e3a88-24ee-4563-8963-fab73d2765ed,Symphony No 9 in C Major,Symphony,No. 9,C major,[]
b1e123ea-1da4-4e8a-a288-449b8eb5601f,f91e3a88-24ee-4563-8963-fab73d2765ed,"Streichquartett ""Der Tod und das Mädchen""",String Quartet,,,['classical']
65f35dcc-7742-4501-8f28-05ecffa7124a,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,3ᵉ Scherzo ~ Barcarolle ~ Nocturnes ~ Mazurkas,Nocturne,,,[]
c0392a2d-ee88-4788-81d7-8e3f61a52212,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,4 Impromptus / 3 Walzer / 6 Mazurken / Polonaise-Fantaisie,Waltz,,,[]
daa9c028-0889-45bf-ac52-7500e1611ee9,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,Chopin,,,,[]
4ee59d26-ccc8-43af-b750-ee8c20941c57,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,Mazurkas / Polonaises / Nocturnes / Preludes / Scherzo,Nocturne,,,['classical']
e2f9ae12-6863-4bd8-9320-80d187302025,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,"Polonaises Nos. 1, 2, 3, 4, 6, 8, 9, 10",,,,[]
